wine,VAC,FFA,Aceta t,FAEE,EBut,ELa,DSuc,PhE,Actoi,Bd,Pd,But,Ade,EA,Alc
103,6.3,3.5,0.63,0.55,0.21,55,2.1,62,7.8,1025,72,31.6,5,69,392
162,5.7,4.1,1.28,0.76,0.33,33,0.87,42,18.5,1067,73,15.2,8.4,59,357
205,8.8,3.9,0.81,0.78,0.12,32,1.17,46,12.8,889,65,16.2,8.3,51,363
235,6.3,4.1,0.69,0.79,0.44,44,1.63,56,16.6,702,57,21.9,12.1,64,384
318,5.3,2.8,0.38,0.37,0.35,27,1.3,61,2.8,761,66,14.3,2.8,44,334
383,4.2,2.3,0.61,0.45,0.32,28,0.76,38,10.4,1046,70,19,7.7,51,285
412,6,3.1,0.69,0.62,0.19,26,1.24,66,8.3,831,64,19.9,18.7,60,360
422,5.3,3.8,1.6,0.79,0.46,53,0.99,34,13.7,1483,97,24,8.4,80,332
456,5.4,5.2,0.51,0.9,0.37,27,1.66,49,21.7,995,81,12.8,12.8,70,287
562,5.4,4.9,1.54,0.88,0.39,64,1.96,47,8.1,739,61,16.1,6.7,66,310
597,4.8,1.7,0.59,0.34,0.4,19,0.46,66,13.6,1039,69,18.6,8.7,53,322
638,6.1,5.3,0.78,0.94,0.23,29,1.48,60,12.6,962,71,16.4,6.1,59,352
652,4.2,3.2,0.63,0.59,0.4,53,1.45,20,17.7,1368,77,22.7,7.2,63,222
736,5.9,3.8,1.56,0.75,0.33,29,0.89,51,19.2,998,68,17.5,10.6,59,353
789,7.7,3.6,0.94,0.64,0.32,36,0.64,59,43.2,763,59,16.2,14.9,60,402
840,6.5,3.9,0.47,0.84,0.2,56,3.61,53,6.3,920,64,34.9,9.9,59,341
867,6.2,3.9,0.66,0.73,0.39,36,1.84,53,10,909,70,17.8,11.7,59,333
941,5.2,4.3,0.68,0.96,0.42,62,1.44,33,7.9,1152,83,20.2,5.7,69,308
986,4.7,2.3,0.26,0.5,0.33,23,1.13,47,4.7,1239,92,16.6,5.6,59,294
