wine,hexenols,terpene alcohols,noriscoprenoids,benzaldehyde,benzyl alcohol
103,1150,41,1.77,nd,nd
162,670,53,2.07,0.29,0.23
205,960,42,2.12,0.04,0.67
235,1260,96,1.81,nd,0.33
318,1150,63,4.17,nd,nd
383,800,39,2.36,0.08,0.5
412,960,20,2.25,nd,nd
422,870,50,2.43,0.11,0.52
456,1180,57,2.37,nd,nd
562,800,20,2.09,nd,nd
597,860,50,2.82,0.09,0.58
638,1010,47,2.47,nd,nd
652,870,55,2.39,0.14,0.4
736,650,61,2.19,0.09,0.72
789,1020,29,1.84,0.06,0.5
840,980,34,1.35,nd,nd
867,1210,38,2.98,0.07,0.73
941,1180,51,2.61,0.04,0.59
986,870,53,3.14,0.22,0.39
