ALA,ARE,BAX,CAM,GON,MEL,OBL,OVA,WIL,ALP,VIM,ARO.SAB,Rockiness,Sandiness,VallyBotFlat,PPTann,Loaminess,cvTemp,T0,latitude,longitude
0,0,0,0,0,0,0,0,1,1,0,0,60,1,0,785,0,142,6124.01,-37.4269,142.4574
0,0,0,0,0,0,1,0,1,1,0,0,75,1,0,785,0,142,6124.01,-37.4269,142.4574
0,0,1,0,0,0,0,0,1,1,0,0,70,1,0,780,0,142,3252.96,-37.4263,142.4577
0,0,1,0,0,0,0,0,1,0,0,0,40,1,0,778,0,142,1636.63,-37.4269,142.4574
0,0,1,0,0,0,1,0,0,0,0,0,15,1,0,772,0,142,1352.08,-37.4259,142.4584
0,0,0,0,0,0,0,0,1,1,0,0,80,1,0,841,0,142,5018.48,-37.4224,142.459
0,0,1,0,0,0,1,0,0,0,0,0,80,1,0,846,0,143,4874.83,-37.4224,142.4587
0,0,1,0,0,0,1,0,1,0,0,0,40,1,0,848,0,143,10145.4,-37.4228,142.4581
0,0,1,0,0,0,1,0,1,0,0,0,20,1,0,845,0,142,8773.88,-37.4236,142.4578
0,0,1,0,0,0,1,0,1,0,0,0,10,1,0,830,0,142,672.69,-37.4244,142.4577
0,0,1,0,0,0,1,0,1,0,0,0,90,1,0,846,0,145,2816.11,-37.3567,142.4958
0,0,1,0,0,0,1,0,1,0,0,0,60,1,0,805,0,145,6905.14,-37.3589,142.4942
0,0,0,0,0,0,1,0,1,0,0,0,40,1,0,807,0,145,1543.46,-37.3575,142.4947
0,0,0,0,0,0,1,0,0,1,0,0,90,1,0,840,0,145,4329.83,-37.3557,142.4965
1,0,0,0,0,0,0,0,1,1,0,0,70,1,0,834,0,145,4093.07,-37.3559,142.4965
0,0,1,0,0,0,1,0,0,0,0,0,60,1,0,855,0,145,2840.64,-37.3564,142.4959
0,0,0,0,0,0,1,0,1,0,0,0,20,1,0,846,0,145,2816.11,-37.3567,142.4958
0,0,0,0,0,0,0,0,0,1,0,0,90,1,0,794,0,140,3054.85,-37.4907,142.4004
0,0,0,0,0,0,0,0,1,1,0,0,85,1,0,782,0,139,3679.44,-37.4906,142.3999
1,0,1,0,0,0,0,0,0,1,0,0,60,1,0,786,0,139,10762.99,-37.4908,142.3994
0,0,0,0,0,0,0,0,1,1,0,0,70,1,0,786,0,139,10762.99,-37.4908,142.3994
0,0,1,0,0,0,0,0,1,0,0,0,90,1,0,779,0,136,9846.55,-37.572,142.3645
