,AM.AD.1,AM.AD.2,AM.AD.3,AM.AD.4,DA.AD.1,DA.AD.1T,DA.AD.2,DA.AD.3,DA.AD.3T,DA.AD.4,ES.AD.1,ES.AD.2,ES.AD.3,ES.AD.4,FR.AD.1,FR.AD.2,FR.AD.3,FR.AD.4,FR.AD.5,FR.AD.6,FR.AD.7,FR.AD.8,IT.AD.1,IT.AD.2,IT.AD.3,IT.AD.4,IT.AD.5,IT.AD.6,JP.AD.1,JP.AD.2,JP.AD.3,JP.AD.4,JP.AD.5,JP.AD.6,JP.AD.7,JP.AD.8,JP.AD.9,JP.IN.1,JP.IN.2,JP.IN.3,JP.IN.4,MH0001,MH0002,MH0003,MH0004,MH0005,MH0006,MH0007,MH0008,MH0009,MH0010,MH0011,MH0012,MH0013,MH0014,MH0015,MH0016,MH0017,MH0018,MH0019,MH0020,MH0021,MH0022,MH0023,MH0024,MH0025,MH0026,MH0027,MH0028,MH0030,MH0031,MH0032,MH0033,MH0034,MH0035,MH0036,MH0037,MH0038,MH0039,MH0040,MH0041,MH0042,MH0043,MH0044,MH0045,MH0046,MH0047,MH0048,MH0049,MH0050,MH0051,MH0052,MH0053,MH0054,MH0055,MH0056,MH0057,MH0058,MH0059,MH0060,MH0061,MH0062,MH0063,MH0064,MH0065,MH0066,MH0067,MH0068,MH0069,MH0070,MH0071,MH0072,MH0073,MH0074,MH0075,MH0076,MH0077,MH0078,MH0079,MH0080,MH0081,MH0082,MH0083,MH0084,MH0085,MH0086,TS1_V2,TS10_V2,TS100_V2,TS101.2_V2,TS103_V2,TS104_V2,TS105_V2,TS106_V2,TS107_V2,TS109_V2,TS11_V2,TS110_V2,TS111_V2,TS115_V2,TS116_V2,TS117_V2,TS118_V2,TS119_V2,TS12_V2,TS120_V2,TS124_V2,TS125_V2,TS126_V2,TS127_V2,TS128_V2,TS129_V2,TS13_V2,TS130_V2,TS131_V2,TS132_V2,TS133_V2,TS134_V2,TS135_V2,TS136_V2,TS137_V2,TS138_V2,TS139_V2,TS14_V2,TS140_V2,TS141_V2,TS142_V2,TS143_V2,TS144_V2,TS145_V2,TS146_V2,TS147_V2,TS148_V2,TS149_V2,TS15_V2,TS150_V2,TS151_V2,TS152_V2,TS153_V2,TS154.2_V2,TS155_V2,TS156_V2,TS16_V2,TS160_V2,TS161_V2,TS162_V2,TS163_V2,TS164_V2,TS165_V2,TS166_V2,TS167_V2,TS168_V2,TS169_V2,TS17_V2,TS170_V2,TS178_V2,TS179_V2,TS180_V2,TS181_V2,TS182_V2,TS183_V2,TS184_V2,TS185_V2,TS186_V2,TS19_V2,TS190_V2,TS191_V2,TS192_V2,TS193_V2,TS194_V2,TS195_V2,TS2_V2,TS20_V2,TS21_V2,TS22_V2,TS23_V2,TS25_V2,TS26_V2,TS27_V2,TS28_V2,TS29_V2,TS3_V2,TS30_V2,TS31_V2,TS32_V2,TS33_V2,TS34_V2,TS35_V2,TS37_V2,TS38_V2,TS39_V2,TS4_V2,TS43_V2,TS44_V2,TS49_V2,TS5_V2,TS50_V2,TS51_V2,TS55_V2,TS56_V2,TS57_V2,TS6_V2,TS61_V2,TS62_V2,TS63_V2,TS64_V2,TS65_V2,TS66_V2,TS67_V2,TS68_V2,TS69_V2,TS7_V2,TS70_V2,TS71_V2,TS72_V2,TS73_V2,TS74_V2,TS75_V2,TS76_V2,TS77_V2,TS78_V2,TS8_V2,TS82_V2,TS83_V2,TS84_V2,TS85_V2,TS86_V2,TS87_V2,TS88_V2,TS89_V2,TS9_V2,TS90_V2,TS91_V2,TS92_V2,TS94_V2,TS95_V2,TS96_V2,TS97_V2,TS98_V2,TS99.2_V2
Prosthecochloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,36,20,17,26,31,38,21,31,71,12,49,50,17,36,48,26,21,24,31,38,31,17,17,25,15,19,37,11,14,21,22,12,28,34,15,8,8,19,32,26,8,12,20,23,37,33,20,19,47,58,28,21,34,17,14,28,21,27,59,25,35,47,23,12,52,13,64,25,29,27,21,17,48,35,28,19,16,58,16,34,25,59,28,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,66,65,84,73,97,92,100,179,43,116,142,53,132,145,47,50,32,56,91,104,45,44,70,45,46,138,25,36,69,39,39,59,115,44,30,30,73,131,83,24,41,53,52,100,105,77,47,136,253,105,88,181,39,57,66,92,82,233,74,92,148,62,40,253,26,124,66,61,56,48,53,149,98,122,57,35,193,47,101,72,209,52,98,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dehalococcoides,0,22,5,0,0,0,10,0,0,22,22,0,0,30,0,0,6,19,12,10,0,12,206,0,10,0,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,105,493,198,131,96,171,170,189,359,86,321,263,150,228,251,129,91,54,100,282,313,135,109,139,113,263,268,112,116,154,113,84,135,229,81,42,54,115,381,205,64,70,120,154,128,154,116,72,294,1131,349,126,260,72,128,166,186,316,438,237,602,312,169,80,227,75,219,375,154,207,80,113,324,206,347,254,88,675,156,274,302,336,173,228,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermus,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,184,123,103,62,98,81,115,195,46,157,172,73,125,259,57,51,32,59,107,114,41,39,89,86,53,152,34,35,85,50,41,42,90,37,36,25,89,180,152,24,49,61,38,128,248,70,77,169,384,223,83,184,40,80,71,94,102,302,118,284,186,101,51,428,41,235,95,59,112,27,93,224,117,160,75,76,204,57,137,93,249,50,115,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeria,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,140,136,131,178,137,177,220,404,370,169,250,167,281,227,345,168,107,109,152,209,281,109,106,201,98,178,333,135,146,226,121,104,188,377,81,33,97,133,333,159,67,83,152,185,147,95,171,65,196,342,213,151,296,84,107,79,214,231,461,130,105,372,222,197,272,153,167,260,358,109,173,196,155,232,358,239,124,583,160,412,290,261,146,255,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fusobacterium,0,1,0,0,0,78,4,0,12,0,0,0,0,11,0,0,5,15,0,4,0,0,0,0,0,5,0,0,0,8,0,5,10,16,899,3,0,0,0,17,0,444,493,166,562,493,537,703,1701,1260,615,1115,457,1265,610,1059,493,361,464,559,584,1399,344,432,609,502,474,924,687,494,875,527,401,872,1390,174,71,278,352,1160,815,181,274,462,569,380,386,509,177,538,1042,944,362,535,276,291,227,540,690,704,946,5965,1175,1046,628,860,566,898,919,1263,234,621,1928,447,991,1794,802,639,2214,664,1243,1275,962,385,543,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Streptobacillus,0,0,0,7,0,0,0,41,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,62,76,126,55,61,65,57,182,198,101,171,151,237,86,125,65,51,53,68,41,351,46,59,97,180,66,94,122,96,147,72,73,151,233,21,7,43,40,228,143,25,42,75,103,39,48,73,56,177,163,199,60,83,38,37,17,75,108,145,40,185,188,257,108,152,70,653,153,218,37,324,74,41,208,242,455,89,437,112,256,290,130,48,61,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevibacillus,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,42,29,30,26,44,45,54,87,29,52,46,26,57,68,34,21,17,25,39,56,17,20,31,21,28,62,16,21,31,19,18,30,59,17,10,19,29,71,31,10,17,26,35,37,27,31,12,48,79,54,39,55,16,22,18,44,38,94,38,39,67,28,30,70,18,54,43,50,19,33,55,43,44,61,33,25,102,25,63,40,76,30,48,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria_Gp1_Gp1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,78,66,78,63,98,76,79,172,34,127,141,57,128,139,40,47,32,47,79,117,42,37,78,45,47,124,27,31,62,37,36,47,91,37,28,27,66,146,96,24,40,46,41,83,175,72,44,134,262,116,69,187,37,51,60,81,85,267,98,113,135,56,42,260,17,124,69,56,59,32,48,163,91,103,61,33,190,42,98,67,216,51,74,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paenibacillus,0,0,2,0,5,12,0,5,4,1,0,0,0,1,4,4,1,15,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,127,164,138,166,135,204,230,290,374,124,274,306,118,364,345,136,111,73,129,190,226,85,92,180,92,120,348,66,77,135,86,81,140,261,90,61,77,153,310,215,51,92,139,147,184,173,157,83,278,435,236,162,312,82,114,114,206,177,555,165,207,314,156,111,412,89,304,184,195,122,132,149,243,235,300,142,106,467,106,273,185,477,115,220,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
