"Class","Adult.weight..g.","Sample.size","Maximum.longevity..yrs.","Specimen.origin"
"Aves",526.64,"medium",20.3,"wild"
"Aves",453.5,"medium",14.9,"wild"
"Aves",1044.2,"medium",22,"wild"
"Aves",237.5,"medium",20.2,"wild"
"Aves",479.583,"small",NA,"unknown"
"Aves",135,"medium",19.9,"wild"
"Aves",9625,"medium",39,"captivity"
"Aves",3000,"small",44.5,"captivity"
"Aves",3466,"small",40,"captivity"
"Aves",4800,"medium",48,"captivity"
"Aves",2000,"small",20,"captivity"
"Aves",3262,"medium",56,"captivity"
"Aves",2745.5,"small",41,"captivity"
"Aves",1370,"medium",26.1,"wild"
"Aves",1996.1,"medium",40.3,"captivity"
"Aves",415,"medium",8.5,"wild"
"Aves",1012,"medium",28.8,"wild"
"Aves",1362,"large",30.7,"wild"
"Aves",980.64,"small",18.8,"wild"
"Aves",607,"medium",22.4,"wild"
"Aves",454,"small",18.3,"wild"
"Aves",1500,"medium",23.7,"wild"
"Aves",1174.5,"small",NA,"unknown"
"Aves",505,"medium",17,"wild"
"Aves",980.64,"medium",24.9,"wild"
"Aves",837,"medium",13.5,"wild"
"Aves",2048,"tiny",NA,"unknown"
"Aves",1699.5,"medium",17.3,"wild"
"Aves",711.5,"medium",20.1,"wild"
"Aves",752.5,"small",11,"wild"
"Aves",392,"medium",17.1,"wild"
"Aves",388.5,"medium",13.5,"wild"
"Aves",315.5,"medium",16.3,"wild"
"Aves",265.5,"small",3.5,"wild"
"Aves",260.5,"medium",6,"wild"
"Aves",280,"tiny",6,"wild"
"Aves",2447.5,"medium",42,"captivity"
"Aves",5070,"medium",40,"captivity"
"Aves",1600,"medium",27.1,"captivity"
"Aves",5433,"medium",19.7,"captivity"
"Aves",4385,"tiny",NA,"unknown"
"Aves",8177,"medium",31.2,"wild"
"Aves",7436,"large",41.4,"captivity"
"Aves",6696.5,"medium",42,"captivity"
"Aves",3175,"large",48,"captivity"
"Aves",529,"tiny",24.5,"wild"
"Aves",755,"small",20.4,"wild"
"Aves",4800,"medium",16.8,"captivity"
"Aves",2000,"tiny",30,"captivity"
"Aves",791,"medium",38.7,"wild"
"Aves",266,"tiny",11.2,"wild"
"Aves",280.5,"medium",8.6,"wild"
"Aves",585.5,"medium",17,"wild"
"Aves",1000,"medium",24,"unknown"
"Aves",1080,"medium",38,"captivity"
"Aves",2043,"tiny",21.3,"wild"
"Aves",2082,"medium",37,"captivity"
"Aves",994.26,"large",25,"captivity"
"Aves",758,"medium",29,"wild"
"Aves",6500,"small",41,"captivity"
"Aves",352.5,"tiny",17,"wild"
"Aves",2200,"small",55,"unknown"
"Aves",NA,"small",23.9,"wild"
"Aves",3016,"tiny",5.7,"wild"
"Aves",2200,"medium",20.8,"unknown"
"Aves",2270,"medium",25.5,"wild"
"Aves",11175,"medium",45,"wild"
"Aves",3405,"small",40,"captivity"
"Aves",10500,"medium",79,"captivity"
"Aves",1527.5,"medium",21,"wild"
"Aves",1362,"medium",32,"wild"
"Aves",570,"small",10.4,"wild"
"Aves",452.8,"large",22.5,"wild"
"Aves",1900,"small",25.5,"captivity"
"Aves",721,"large",27.4,"wild"
"Aves",793.8,"large",21.3,"wild"
"Aves",491.7,"large",NA,"unknown"
"Aves",590,"medium",NA,"unknown"
"Aves",613,"medium",22.6,"wild"
"Aves",343.8,"medium",27.1,"wild"
"Aves",411,"medium",12.9,"wild"
"Aves",420,"large",23.2,"wild"
"Aves",950,"small",20,"captivity"
"Aves",488.75,"large",31.7,"wild"
"Aves",500,"small",12,"wild"
"Aves",660,"medium",35.2,"wild"
"Aves",1048.1,"medium",29.1,"unknown"
"Aves",326,"medium",14.7,"wild"
"Aves",665,"tiny",NA,"unknown"
"Aves",998.7,"large",26.6,"wild"
"Aves",791,"medium",28,"unknown"
"Aves",981,"large",27.2,"wild"
"Aves",2681,"medium",47,"captivity"
"Aves",3308.5,"large",31,"captivity"
"Aves",2645,"medium",40.9,"wild"
"Aves",1779.25,"medium",14.8,"wild"
"Aves",3348,"medium",25.6,"wild"
"Aves",787,"large",18.3,"wild"
"Aves",1077.3,"large",22.6,"wild"
"Aves",840,"small",NA,"unknown"
"Aves",737,"large",20.4,"wild"
"Aves",823,"medium",23.2,"wild"
"Aves",701.5,"medium",45.2,"wild"
"Aves",928.5,"large",22.1,"wild"
"Aves",1208.8,"large",29.5,"wild"
"Aves",1697.5,"tiny",6.2,"wild"
"Aves",1163.2,"large",28.8,"wild"
"Aves",3200,"medium",42,"unknown"
"Aves",1940.1,"medium",18.3,"wild"
"Aves",1687,"medium",28.2,"wild"
"Aves",2150,"medium",42,"wild"
"Aves",400,"medium",18.7,"wild"
"Aves",895.86,"large",20.9,"wild"
"Aves",957.15,"medium",18,"wild"
"Aves",365.5,"medium",NA,"unknown"
"Aves",3980,"medium",29.1,"wild"
"Aves",2806.65,"large",27.5,"wild"
"Aves",2148,"small",12,"wild"
"Aves",1715,"large",22.5,"wild"
"Aves",812.5,"large",9.1,"wild"
"Aves",872,"small",22.7,"wild"
"Aves",5650,"large",24.7,"wild"
"Aves",13000,"small",32.5,"captivity"
"Aves",6350,"medium",24.1,"wild"
"Aves",9350,"large",26.7,"wild"
"Aves",8300,"large",40,"wild"
"Aves",828,"small",8.2,"wild"
"Aves",737.1,"small",11.2,"wild"
"Aves",792,"small",NA,"unknown"
"Aves",610,"large",12,"captivity"
"Aves",561.25,"medium",14.6,"wild"
"Aves",634.375,"medium",15.7,"captivity"
"Aves",360.75,"small",NA,"unknown"
"Aves",1360.8,"medium",21.4,"wild"
"Aves",1052.2,"medium",16.8,"wild"
"Aves",1097.5,"tiny",9.5,"wild"
"Aves",610,"medium",10,"wild"
"Aves",1445,"medium",14.8,"wild"
"Aves",1020.6,"small",21.3,"wild"
"Aves",1118,"medium",12.9,"wild"
"Aves",798,"medium",16,"captivity"
"Aves",542,"medium",20,"captivity"
"Aves",3869,"medium",11.3,"captivity"
"Aves",907.2,"medium",23,"wild"
"Aves",1558,"medium",18,"wild"
"Aves",2130,"medium",37.8,"wild"
"Aves",1617,"small",18.9,"wild"
"Aves",1152,"medium",24.8,"wild"
"Aves",1364,"large",13.1,"wild"
