Nr	Name (generally known as)	Born	Died	Years	Days	Days Lived	Rank at Death	R	S	Birthplace	Residence/Place of death	Validated By	Validated By2	Validated By3	Validated By4	Validated By5	Application Date	Acceptance Date	Photo?
1	Jeanne Calment	Feb. 21, 1875	Aug. 4, 1997	122	164	44724	1	W	F	France	France	Guinness Book	Jean-Marie Robine				N/A	N/A	Y
2	Sarah Knauss	Sept. 24, 1880	Dec. 30, 1999	119	97	43560	1	W	F	USA (Pennsylvania)	USA (Pennsylvania)	Guinness Book					N/A	N/A	Y
3	Lucy Hannah	July 16, 1875	Mar. 21, 1993	117	248	42982	2	B	F	USA (Alabama)	USA (Michigan)	United States (SSA)	Kestenbaum study				N/A	Sept. 9, 2003	
4	Marie-Louise Meilleur	Aug. 29, 1880	Apr. 16, 1998	117	230	42963	1	W	F	Canada (Quebec)	Canada (Ontario)	Guinness Book					N/A	N/A	Y
5	Maria Esther de Capovilla	Sept. 14, 1889	Aug. 27, 2006	116	347	42715	1	W	F	Ecuador	Ecuador	Guinness Book	Robert Young				N/A	Dec. 9, 2005	Y
6	Misao Okawa	Mar. 5, 1898	 	116*	302*	42670	1	EA	F	Japan	Japan (Osaka)	Japan (MHLW)	Anson Davis	 	 	 	Sept. 14, 2011	Sept. 14, 2011	Y
7	Gertrude Weaver	July 4, 1898	 	116*	181*	42549	2	BWI	F	USA (Arkansas)	USA (Arkansas)	Robert Young	Mark Muir	Kevin DeLong	Anson Davis	Stefan Jamin	Mar. 28, 2014	July 4, 2014	Y
8	Tane Ikai	Jan. 18, 1879	July 12, 1995	116	175	42543	2	EA	F	Japan	Japan (Aichi)	Robert Young	Japan (MHLW)				N/A	N/A	Y
9	Elizabeth Bolden	Aug. 15, 1890	Dec. 11, 2006	116	118	42486	1	B	F	USA (Tennessee)	USA (Tennessee)	Robert Young	Jeff Knight				N/A	Apr. 22, 2005	Y
10	Besse Cooper	Aug. 26, 1896	Dec. 4, 2012	116	100	42468	1	W	F	USA (Tennessee)	USA (Georgia)	Filipe Prista Lucas	Gabriel Ainsworth				N/A	Nov. 8, 2006	Y
11	Jiroemon Kimura	Apr. 19, 1897	June 12, 2013	116	54	42422	1	EA	M	Japan	Japan (Kyoto)	Japan (MHLW)	Hamish Todd	Ken Matsuoka			Sept. 25, 2007	Oct. 16, 2007	Y
12	Maggie Barnes	Mar. 6, 1882	Jan. 19, 1998	115	319	42322	3	B	F	USA (North Carolina)	USA (North Carolina)	United States (SSA)	Kestenbaum study	Robert Young			N/A	Sept. 8, 2003	Y
13	Dina Manfredini	Apr. 4, 1897	Dec. 17, 2012	115	257	42260	1	W	F	Italy (Emilia-Romagna)	USA (Iowa)	Giovanni Alunni	Filipe Prista Lucas	Robert Young			Sept. 15, 2007	Oct. 23, 2007	Y
14	Christian Mortensen	Aug. 16, 1882	Apr. 25, 1998	115	252	42255	2	W	M	Denmark	USA (California)	John Wilmoth					N/A	N/A	Y
15	Charlotte Hughes	Aug. 1, 1877	Mar. 17, 1993	115	228	42231	3	W	F	United Kingdom (England)	United Kingdom (England)	Guinness Book					N/A	N/A	Y
16	Jeralean Talley	May 23, 1899	 	115*	223*	42226	3	B	F	USA (Georgia)	USA (Michigan)	Filipe Prista Lucas	Mark Muir	 	 	 	May 25, 2009	Apr. 4, 2012	Y
17	Edna Parker	Apr. 20, 1893	Nov. 26, 2008	115	220	42223	1	W	F	USA (Indiana)	USA (Indiana)	Robert Young					N/A	Apr. 1, 2005	Y
18	Mary Ann Rhodes	Aug. 12, 1882	Mar. 3, 1998	115	203	42206	3	W	F	Canada (Ontario)	Canada (Ontario)	Mike Craho	Mark Muir	Robert Young			Oct. 27, 2011	Mar. 9, 2012	Y
19	Margaret Skeete	Oct. 27, 1878	May 7, 1994	115	192	42195	2	W	F	USA (Texas)	USA (Virginia)	Guinness Book					N/A	N/A	Y
20	Susannah Mushatt Jones	July 6, 1899	 	115*	179*	42182	4	B	F	USA (Alabama)	USA (New York)	Robert Young	Filipe Prista Lucas	Stefan Gelow	 	 	July 5, 2010	Aug. 19, 2010	Y
21	Bernice Madigan	July 24, 1899	 	115*	161*	42164	5	W	F	USA (Massachusetts)	USA (Massachusetts)	Robert Young	 	 	 	 	July 28, 2009	Sept. 22, 2009	Y
22	Gertrude Baines	Apr. 6, 1894	Sept. 11, 2009	115	158	42161	1	B	F	USA (Georgia)	USA (California)	Jacquie St. James	Louis Epstein	Robert Young	L. Stephen Coles		N/A	Sept. 10, 2006	Y
23	Emiliano Mercado del Toro	Aug. 21, 1891	Jan. 24, 2007	115	156	42159	1	H	M	Puerto Rico	Puerto Rico	Robert Johnson	Jeff Knight				N/A	Dec. 7, 2004	Y
24	Bettie Wilson	Sept. 13, 1890	Feb. 13, 2006	115	153	42156	3	B	F	USA (Mississippi)	USA (Mississippi)	Robert Young					N/A	Oct. 8, 2003	Y
25	Julie Winnifred Bertrand	Sept. 16, 1891	Jan. 18, 2007	115	124	42127	2	W	F	Canada (Quebec)	Canada (Quebec)	Bertrand Desjardins					N/A	Sept. 30, 2001	Y
26	Maria de Jesus	Sept. 10, 1893	Jan. 2, 2009	115	114	42117	1	W	F	Portugal	Portugal	Filipe Prista Lucas					N/A	Sept. 11, 2004	Y
27	Susie Gibson	Oct. 31, 1890	Feb. 16, 2006	115	108	42111	3	W	F	USA (Mississippi)	USA (Alabama)	Robert Young					N/A	Nov. 27, 2002	Y
28	Augusta Holtz	Aug. 3, 1871	Oct. 21, 1986	115	79	42082	1	W	F	Germany (now Poland)	USA (Missouri)	Stefan Jamin	et al				Apr. 26, 2012	Sept. 17, 2012	Y
29	Hendrikje van Andel-Schipper	June 29, 1890	Aug. 30, 2005	115	62	42065	2	W	F	Netherlands	Netherlands	Gert Jan Kuiper					N/A	June 29, 2000	Y
30	Maud Farris-Luse	Jan. 21, 1887	Mar. 18, 2002	115	56	42059	1	W	F	USA (Michigan)	USA (Michigan)	Guinness Book					N/A	N/A	Y
31	Marie Brémont	Apr. 25, 1886	June 6, 2001	115	42	42045	1	W	F	France	France	Guinness Book	Jean-Marie Robine				N/A	N/A	Y
32	Emma Morano-Martinuzzi	Nov. 29, 1899	 	115*	33*	42036	6	W	F	Italy	Italy	Paolo Scarabaggio	 	 	 	 	Jan. 15, 2010	Feb. 4, 2010	Y
33	Koto Okubo	Dec. 24, 1897	Jan. 12, 2013	115	19	42022	2	EA	F	Japan	Japan (Kanagawa)	Japan (MHLW)	Anson Davis				Sept. 13, 2012	Sept. 14, 2012	Y
34	Chiyono Hasegawa	Nov. 20, 1896	Dec. 2, 2011	115	12	42014	2	EA	F	Japan	Japan (Saga)	Japan (MHLW)	Hamish Todd	Ken Matsuoka			Oct. 4, 2007	Oct. 29, 2007	Y
35	Annie Jennings	Nov. 12, 1884	Nov. 20, 1999	115	8	42010	2	W	F	United Kingdom (England)	United Kingdom (England)	Roger Thatcher	Robert Young				N/A	N/A	Y
36	Eva Morris	Nov. 8, 1885	Nov. 2, 2000	114	360	41997	1	W	F	United Kingdom (England)	United Kingdom (England)	Guinness Book					N/A	N/A	Y
37	Kama Chinen	May 10, 1895	May 2, 2010	114	357	41995	1	EA	F	Japan	Japan (Okinawa)	Japan (MHLW)	Hamish Todd				July 10, 2008	Sept. 20, 2008	Y
38	Maria Gomes Valentim	July 9, 1896	June 21, 2011	114	347	41984	1	WH	F	Brazil	Brazil	Cassio Turra	Gabriel Ainsworth				May 9, 2011	May 18, 2011	Y
39	Mary Bidwell	May 19, 1881	Apr. 25, 1996	114	342	41979	4	W	F	USA (Connecticut)	USA (Connecticut)	Guinness news					N/A	N/A	Y
40	Violet Brown	Mar. 10, 1900	 	114*	297*	41935	7	B	F	British West Indies (now Jamaica)	Jamaica	Anson Davis	Mark Muir	Robert Young	Andrew Holmes	 	June 22, 2013	July 26, 2014	Y
41	Mary Josephine Ray	May 17, 1895	Mar. 7, 2010	114	294	41932	2	W	F	Canada (Prince Edward Island)	USA (New Hampshire)	Emily Schoenhofen	Robert Young				N/A	Mar. 11, 2006	Y
42	Maria do Couto Maia-Lopes	Oct. 24, 1890	July 25, 2005	114	274	41912	5	W	F	Portugal	Portugal	Filipe Prista Lucas					N/A	Dec. 20, 2003	Y
43	Ramona Trinidad Iglesias-Jordan	Aug. 31, 1889	May 29, 2004	114	272	41909	1	W	F	Puerto Rico	Puerto Rico	Robert Young	Rene Matos	et al			N/A	Mar. 20, 2004	Y
44	Eugénie Blanchard	Feb. 16, 1896	Nov. 4, 2010	114	261	41899	1	W	F	France (Guadeloupe)	France (Saint Barthélemy)	Laurent Toussaint					May 27, 2007	Aug. 9, 2007	Y
45	Venere Pizzinato-Papo	Nov. 23, 1896	Aug. 2, 2011	114	252	41889	3	W	F	Austria-Hungary (now Italy)	Italy	Giovanni Alunni					Dec. 30, 2006	Feb. 2, 2007	Y
46	Neva Morris	Aug. 3, 1895	Apr. 6, 2010	114	246	41884	2	W	F	USA (Iowa)	USA (Iowa)	Filipe Prista Lucas	Robert Young				N/A	May 2, 2006	Y
47	Hide Ohira	Sept. 15, 1880	May 9, 1995	114	236	41873	4	EA	F	Japan	Japan	Japan (MHLW)	Robert Young				N/A	N/A	Y
48	Antonia Gerena Rivera	May 19, 1900	 	114*	227*	41865	8	H	F	Puerto Rico	USA (Florida)	Robert Young	 	 	 	 	Nov. 16, 2010	Dec. 23, 2010	Y
49	Mathew Beard	July 9, 1870	Feb. 16, 1985	114	222	41860	1	B	M	USA (Virginia)	USA (Florida)	United States (SSA)	Kestenbaum study				N/A	July 1, 2003	Y?
50	Yone Minagawa	Jan. 4, 1893	Aug. 13, 2007	114	221	41858	1	EA	F	Japan	Japan (Fukuoka)	Japan (MHLW)	Nobuko Endo				N/A	Sept. 15, 2004	Y
51	Maria Antonia Castro	June 10, 1881	Jan. 16, 1996	114	220	41857	5	W	F	Spain (Andalucía)	Spain (Andalucía)	Rosa Gómez-Redondo	Juan M. García González	IDL			June 22, 2010	Aug. 15, 2011	
52	Ethel Lang	May 27, 1900	 	114*	219*	41857	9	W	F	United Kingdom (England)	United Kingdom (England)	Melissa Page	 	 	 	 	June 8, 2010	Aug. 11, 2010	Y
53	Ura Koyama	Aug. 30, 1890	Apr. 5, 2005	114	218	41856	4	EA	F	Japan	Japan (Fukuoka)	Yasuhiko Saito					N/A	Dec. 31, 2000	Y
54	Carrie Lazenby	Feb. 9, 1882	Sept. 14, 1996	114	218	41855	4	B	F	USA (Georgia)	USA (Illinois)	United States (SSA)	Kestenbaum study				N/A	Aug. 5, 2002	Y
55	Myrtle Dorsey	Nov. 22, 1885	June 25, 2000	114	216	41853	2	W	F	USA (Ohio)	USA (Ohio)	Louis Epstein	Robert Young				N/A	N/A	Y
56	Anna Eliza Williams	June 2, 1873	Dec. 27, 1987	114	208	41845	1	W	F	United Kingdom (England)	United Kingdom (Wales)	Guinness Book					N/A	N/A	Y
57	Walter Breuning	Sept. 21, 1896	Apr. 14, 2011	114	205	41842	3	W	M	USA (Minnesota)	USA (Montana)	Laurent Toussaint	Filipe Prista Lucas				N/A	Oct. 25, 2006	Y
58	Grace Clawson	Nov. 15, 1887	May 28, 2002	114	194	41832	1	W	F	United Kingdom (England)	USA (Florida)	Robert Young					N/A	June 13, 2002	Y
59	Eunice Sanborn	July 20, 1896	Jan. 31, 2011	114	195	41832	2	W	F	USA (Louisiana)	USA (Texas)	Filipe Prista Lucas					N/A	July 22, 2006	Y
60	Tase Matsunaga	May 11, 1884	Nov. 18, 1998	114	191	41828	2	EA	F	Japan	Japan	Japan (MHLW)					N/A	N/A	Y
61	Yukichi Chuganji	Mar. 23, 1889	Sept. 28, 2003	114	189	41826	1	EA	M	Japan	Japan	Yasuhiko Saito					N/A	N/A	Y
62	Kame Nakamura	Mar. 8, 1898	Sept. 12, 2012	114	188	41826	6	EA	F	Japan	Japan	Japan (MHLW)	Michel Poulain	Stefan Gelow			Nov. 21, 2010	Nov. 30, 2010	Y
63	Lydie Vellard	Mar. 18, 1875	Sept. 17, 1989	114	183	41821	2	W	F	France	France	Jean-Marie Robine	Robert Young				N/A	N/A	Y
64	Adelina Domingues	Feb. 19, 1888	Aug. 21, 2002	114	183	41821	1	W	F	Cape Verde	USA (California)	Guinness Book	Robert Young	Louis Epstein			N/A	N/A	Y
65	Wilhelmina Kott	Mar. 7, 1880	Sept. 6, 1994	114	183	41820	3	W	F	USA (Illinois)	USA (Illinois)	Guinness Book	United States (SSA)	Bert Kestenbaum	B. Renee Ferguson		N/A	N/A	Y
66	Mitoyo Kawate	May 15, 1889	Nov. 13, 2003	114	182	41819	1	EA	F	Japan	Japan	Yasuhiko Saito					N/A	N/A	Y
67	Camille Loiseau	Feb. 13, 1892	Aug. 12, 2006	114	180	41818	5	W	F	France	France	Jean-Marie Robine	Laurent Toussaint				N/A	Jan. 31, 2004	Y
68	Charlotte Benkner	Nov. 16, 1889	May 14, 2004	114	180	41817	3	W	F	Germany	USA (Ohio)	Robert Young					N/A	Apr. 8, 2002	Y
69	Anne Primout	Oct. 5, 1890	Mar. 26, 2005	114	172	41810	6	W	F	France (Algeria)	France	Jean-Marie Robine					N/A	Jan. 31, 2006	
70	Ettie Mae Greene	Sept. 8, 1877	Feb. 26, 1992	114	171	41808	4	W	F	USA (West Virginia)	USA (West Virginia)	Guinness Book					N/A	N/A	Y
71	Nabi Tajima	Aug. 4, 1900	 	114*	150*	41788	10	EA	F	Japan	Japan (Kagoshima)	Japan (MHLW)	Tim Green	 	 	 	Oct. 11, 2011	Oct. 11, 2011	Y
72	Irene Frank	Oct. 1, 1881	Feb. 28, 1996	114	150	41787	5	W	F	USA (Texas)	USA (Texas)	United States (SSA)	Kestenbaum study				N/A	Dec. 31, 2002	Y
73	Christina Cock	Dec. 25, 1887	May 22, 2002	114	148	41786	2	W	F	Australia (Victoria)	Australia (Victoria)	John McCormack	Robert Young				N/A	N/A	Y
74	Olivia Patricia Thomas	June 29, 1895	Nov. 16, 2009	114	140	41778	3	W	F	USA (Iowa)	USA (New York)	Filipe Prista Lucas	Louis Epstein				Mar. 20, 2007	June 14, 2007	Y
75	Anna Henderson	Mar. 5, 1900	July 1, 2014	114	118	41756	7	B	F	USA (Georgia)	USA (Pennsylvania)	Robert Young					Aug. 28, 2010	July 7, 2011	Y
76	Emma Verona Johnston	Aug. 6, 1890	Dec. 1, 2004	114	117	41755	3	W	F	USA (Iowa)	USA (Ohio)	Robert Young					N/A	July 31, 2002	Y
77	Mamie Rearden	Sept. 7, 1898	Jan. 2, 2013	114	117	41755	5	B	F	USA (South Carolina)	USA (Georgia)	Filipe Prista Lucas	Robert Young				Sept. 16, 2009	Apr. 11, 2010	Y
78	Blanche Cobb	Sept. 8, 1900	 	114*	115*	41753	11	B	F	USA (Georgia)	USA (Florida)	Mark Muir	Ilias Leivaditis	 	 	 	June 28, 2013	Aug. 12, 2013	Y
79	Odie Matthews	Dec. 28, 1878	Apr. 14, 1993	114	107	41745	3	W	F	USA (Texas)	USA (Arizona)	United States (SSA)	Kestenbaum study				N/A	N/A	
80	Bettie Chatmon	Apr. 30, 1884	Aug. 16, 1998	114	108	41745	2	B	F	USA (Louisiana)	USA (Texas)	B. Renee Ferguson	Robert Young				N/A	Feb. 2, 2004	Y
81	Chiyo Shiraishi	Aug. 6, 1895	Nov. 19, 2009	114	105	41743	4	EA	F	Japan	Japan (Ibaraki)	Japan (MHLW)	Ken Matsuoka				N/A	Oct. 20, 2005	Y
82	Asa Takii	Apr. 28, 1884	July 31, 1998	114	94	41731	2	EA	F	Japan	Japan	Japan (MHLW)					N/A	N/A	Y
83	Florence Knapp	Oct. 10, 1873	Jan. 11, 1988	114	93	41730	1	W	F	USA (Pennsylvania)	USA (Pennsylvania)	Guinness Book					N/A	N/A	Y
84	Lucy Askew	Sept. 8, 1883	Dec. 9, 1997	114	92	41730	6	W	F	United Kingdom (England)	United Kingdom (England)	Guinness news					N/A	N/A	Y
85	Mary Anna Boone	Feb. 10, 1887	May 13, 2001	114	92	41730	3	W	F	USA (Kentucky)	USA (Kentucky)	Robert Young					N/A	N/A	Y
86	Elena Slough	July 4, 1889	Oct. 5, 2003	114	93	41730	2	W	F	USA (Pennsylvania)	USA (New Jersey)	Robert Young					N/A	Nov. 12, 2002	Y
87	Maria Carmen del Lopez	Apr. 3, 1883	July 3, 1997	114	91	41729	7	W	F	Spain (Murcia)	Spain (Murcia)	Rosa Gómez-Redondo	Juan M. García González	IDL			June 22, 2010	Aug. 16, 2011	
88	Waka Shirahama	Mar. 23, 1878	June 16, 1992	114	85	41723	4	EA	F	Japan	Japan (Miyazaki)	Japan (MHLW)	Robert Young				N/A	N/A	Y
89	Delma Kollar	Oct. 31, 1897	Jan. 24, 2012	114	85	41722	4	W	F	USA (Kansas)	USA (Oregon)	Filipe Prista Lucas	Robert Young				Nov. 18, 2008	Apr. 10, 2009	Y
90	Joan Riudavets-Moll	Dec. 15, 1889	Mar. 5, 2004	114	81	41718	4	W	M	Spain	Spain	Michel Poulain					N/A	Feb. 2, 2002	Y
91	Suekiku Miyanaga	Apr. 7, 1884	June 20, 1998	114	74	41711	2	EA	F	Japan	Japan	Japan (MHLW)					N/A	N/A	Y
92	Shige Hirooka	Jan. 16, 1897	Mar. 29, 2011	114	72	41709	6	EA	F	Japan	Japan (Osaka)	Japan (MHLW)	Tom Li				Sept. 20, 2009	Sept. 25, 2009	Y
93	Maggie Renfro	Nov. 14, 1895	Jan. 22, 2010	114	69	41707	4	B	F	USA (Louisiana)	USA (Louisiana)	Stan Primmer	Robert Young	Filipe Prista Lucas			N/A	May 29, 2006	Y
94	Anna Stoehr	Oct. 15, 1900	Dec. 21, 2014	114	67	41705	12	W	F	USA (Iowa)	USA (Minnesota)	Robert Young	Mark Muir				Dec. 28, 2010	Oct. 13, 2011	Y
95	Emma Tillman	Nov. 22, 1892	Jan. 28, 2007	114	67	41704	1	B	F	USA (North Carolina)	USA (Connecticut)	Robert Young	Jeff Knight				N/A	Dec. 31, 2005	Y
96	Goldie Steinberg	Oct. 30, 1900	 	114*	63*	41701	12	W	F	Russia (now Moldova)	USA (New York)	Mark Muir	 	 	 	 	Nov. 21, 2012	Nov. 30, 2012	Y
97	Leila Denmark, M.D.	Feb. 1, 1898	Apr. 1, 2012	114	60	41697	5	W	F	USA (Georgia)	USA (Georgia)	Robert Young	Filipe Prista Lucas				Feb. 2, 2008	Feb. 18, 2008	Y
98	Naomi Conner	Aug. 30, 1899	Oct. 18, 2013	114	49	41687	6	B	F	USA (Texas)	USA (Texas)	Robert Young	Filipe Prista Lucas	Anson Davis	Mark Muir		Jan. 1, 2011	May 8, 2013	Y
99	Florrie Baldwin	Mar. 31, 1896	May 8, 2010	114	38	41675	2	W	F	United Kingdom (England)	United Kingdom (England)	Robert Young					N/A	July 1, 2006	Y
